auc,n,r,i
0.9517,8,2,1
0.9464,8,2,2
0.937,8,2,3
0.9517,8,3,1
0.9463,8,3,2
0.9369,8,3,3
0.9517,8,4,1
0.9465,8,4,2
0.9368,8,4,3
0.9517,8,5,1
0.9465,8,5,2
0.9368,8,5,3
0.9517,8,6,1
0.9468,8,6,2
0.9371,8,6,3
0.963,9,2,1
0.9651,9,2,2
0.9858,9,2,3
0.9643,9,3,1
0.9653,9,3,2
0.9858,9,3,3
0.9643,9,4,1
0.9656,9,4,2
0.9861,9,4,3
0.9643,9,5,1
0.9654,9,5,2
0.9861,9,5,3
0.9643,9,6,1
0.9654,9,6,2
0.986,9,6,3
0.9526,10,2,1
0.9551,10,2,2
0.9661,10,2,3
0.9538,10,3,1
0.9552,10,3,2
0.966,10,3,3
0.9555,10,4,1
0.9552,10,4,2
0.9664,10,4,3
0.9555,10,5,1
0.955,10,5,2
0.966,10,5,3
0.956,10,6,1
0.9551,10,6,2
0.9659,10,6,3
0.9643,11,2,1
0.9647,11,2,2
0.9754,11,2,3
0.966,11,3,1
0.9646,11,3,2
0.9753,11,3,3
0.9634,11,4,1
0.9648,11,4,2
0.9757,11,4,3
0.9626,11,5,1
0.9649,11,5,2
0.9757,11,5,3
0.9626,11,6,1
0.9648,11,6,2
0.9756,11,6,3
0.9655,12,2,1
0.9657,12,2,2
0.9866,12,2,3
0.9664,12,3,1
0.9658,12,3,2
0.9865,12,3,3
0.9664,12,4,1
0.9658,12,4,2
0.9866,12,4,3
0.9655,12,5,1
0.9658,12,5,2
0.9867,12,5,3
0.9643,12,6,1
0.9658,12,6,2
0.9866,12,6,3
